V1,V2
75,512
75,583
77,23
77,319
77,470
77,618
77,651
77,662
77,684
78,73
78,77
78,286
78,319
78,372
79,162
79,165
79,266
79,283
79,617
80,621
81,514
81,550
82,130
82,138
82,161
82,247
82,406
82,516
82,628
83,88
83,121
83,160
83,290
83,365
83,532
83,533
83,613
84,154
84,210
84,212
84,314
84,549
84,987
85,29
85,87
85,179
85,216
85,326
85,392
85,463
85,466
85,527
85,618
87,28
87,133
87,179
87,220
87,222
87,285
87,355
87,470
87,558
87,615
88,189
88,393
89,17
89,48
89,92
89,219
89,278
89,290
89,311
89,538
89,583
91,17
91,24
91,437
91,495
91,538
92,57
92,237
92,239
92,241
92,335
92,365
92,584
92,641
93,80
93,595
93,621
94,45
94,47
94,211
94,356
94,459
94,556
94,677
95,59
95,389
95,638
96,294
97,154
97,183
97,454
97,500
97,552
97,612
97,647
100,142
100,147
100,241
100,324
100,586
100,620
100,631
101,137
101,208
101,449
101,455
102,73
102,118
102,372
102,477
102,544
102,651
103,107
103,170
103,257
103,611
103,1033
105,230
105,672
106,19
106,114
106,352
106,359
106,498
106,720
107,45
107,87
107,103
107,133
107,239
107,391
107,452
107,453
107,476
107,553
108,29
108,85
108,216
108,281
108,392
108,417
108,623
108,830
108,1028
109,216
109,217
109,271
109,397
109,464
110,137
110,154
110,205
110,455
110,606
110,676
110,679
111,128
111,162
111,176
111,231
111,241
111,398
111,462
112,43
112,359
112,470
112,525
112,594
112,651
113,268
113,454
114,19
114,106
114,374
114,594
116,3
116,386
116,545
116,555
118,73
118,94
118,102
118,176
118,209
118,372
118,544
118,654
119,96
119,118
119,131
119,341
119,474
119,524
119,598
119,675
120,40
120,117
120,370
120,404
120,586
120,595
120,631
121,189
121,412
121,435
121,436
121,437
121,536
121,607
121,649
122,347
122,449
122,543
122,658
123,284
123,352
123,420
123,449
123,591
123,710
124,260
124,321
124,368
124,416
124,437
124,469
124,512
124,536
124,540
124,617
125,74
125,110
125,164
125,301
125,362
125,481
125,489
125,959
126,281
126,439
126,466
126,478
126,527
126,598
126,647
127,413
127,478
127,489
127,490
127,541
127,600
127,625
127,649
127,727
128,38
128,161
128,337
128,397
128,438
128,469
128,663
128,740
129,158
129,196
129,226
129,537
