"","id","sex","race","grade"
"384",384,2,1,9
"385",385,2,1,11
"386",386,2,2,9
"387",387,2,1,12
"388",388,1,2,9
"389",389,2,2,9
"390",390,2,2,12
"391",391,1,1,11
"392",392,1,1,9
"393",393,1,2,12
"394",394,2,2,10
"395",395,1,2,11
"396",396,2,2,12
"397",397,1,2,9
"398",398,1,2,11
"399",399,1,2,10
"400",400,1,4,10
"401",401,1,5,9
"402",402,2,2,9
"403",403,2,2,11
"404",404,1,2,10
"405",405,1,1,12
"406",406,2,2,9
"407",407,1,5,10
"408",408,1,5,10
"409",409,1,1,9
"410",410,2,2,12
"411",411,1,1,12
"412",412,2,2,12
"413",413,1,2,10
"414",414,1,2,12
"415",415,2,2,11
"416",416,1,2,12
"417",417,1,1,9
"418",418,2,1,10
"419",419,1,2,9
"420",420,1,1,12
"421",421,2,1,10
"422",422,1,2,11
"423",423,1,1,11
"424",424,1,5,11
"425",425,1,1,12
"426",426,2,1,9
"427",427,2,1,9
"428",428,2,2,9
"429",429,2,1,10
"430",430,1,2,9
"431",431,1,2,9
"432",432,1,2,10
"433",433,1,2,12
"434",434,1,1,10
"435",435,2,2,12
"436",436,1,2,12
"437",437,1,2,12
"438",438,1,2,9
"439",439,1,1,11
"440",440,2,2,9
"441",441,2,1,10
"442",442,2,3,10
"443",443,2,2,11
"444",444,2,1,9
"445",445,1,2,9
"446",446,1,2,11
"447",447,2,2,10
"448",448,1,1,9
"449",449,2,1,11
"450",450,1,1,9
"451",451,1,1,11
"452",452,1,1,11
"453",453,2,1,10
"454",454,1,5,9
"455",455,1,1,12
"456",456,1,2,9
"457",457,1,2,12
"458",458,2,5,10
"459",459,1,3,11
"460",460,2,2,10
"461",461,1,1,10
"462",462,2,2,10
"463",463,2,1,9
"464",464,1,1,9
"465",465,1,1,9
"466",466,2,1,10
"467",467,2,2,9
"468",468,1,1,10
"469",469,2,2,9
"470",470,2,1,12
"471",471,1,1,10
"472",472,1,1,12
"473",473,1,1,12
"474",474,2,1,10
"475",475,1,1,9
"476",476,1,2,11
"477",477,1,1,12
"478",478,1,1,11
"479",479,1,2,10
"480",480,1,1,10
"481",481,2,1,9
"482",482,2,2,10
"483",483,1,1,12
"484",484,1,1,10
"485",485,2,0,9
"486",486,2,1,12
"487",487,1,1,12
"488",488,2,1,10
"489",489,2,1,9
"490",490,1,2,10
"491",491,1,2,10
"492",492,1,1,9
"493",493,1,1,10
"494",494,1,1,10
"495",495,2,2,9
"496",496,1,1,10
"497",497,2,3,9
"498",498,1,1,12
"499",499,2,1,12
"500",500,2,1,9
"501",501,1,5,9
"502",502,2,2,12
"503",503,1,1,9
"504",504,2,2,11
"505",505,2,1,11
"506",506,1,3,11
"507",507,2,1,10
"508",508,1,1,12
"509",509,2,2,9
"510",510,2,1,9
"511",511,2,2,12
"512",512,2,2,11
"513",513,2,2,11
"514",514,1,2,9
"515",515,1,2,10
"516",516,2,0,9
"517",517,1,1,9
"518",518,1,2,9
"519",519,2,2,10
"520",520,1,5,9
"521",521,1,1,9
"522",522,2,5,12
"523",523,2,1,11
"524",524,1,1,10
"525",525,1,2,9
"526",526,2,2,9
"527",527,2,1,10
"528",528,2,1,11
"529",529,2,1,12
"530",530,2,2,10
"531",531,2,2,12
"532",532,2,2,12
"533",533,1,2,12
"534",534,1,2,10
"535",535,2,2,12
"536",536,1,2,12
"537",537,2,2,12
"538",538,2,2,9
"539",539,1,1,11
"540",540,2,2,9
"541",541,2,1,9
"542",542,1,1,10
"543",543,2,1,9
"544",544,2,1,9
"545",545,1,2,10
"546",546,1,2,10
"547",547,1,1,12
"548",548,1,1,10
"549",549,1,1,10
"550",550,2,2,11
"551",551,1,2,11
"552",552,2,2,9
"553",553,1,1,12
"554",554,1,2,10
"555",555,2,2,11
"556",556,1,0,11
"557",557,2,5,9
"558",558,1,5,11
"559",559,1,2,12
"560",560,1,1,11
"561",561,2,1,10
"562",562,2,2,12
"563",563,2,1,9
"564",564,2,1,9
"565",565,1,1,10
"566",566,2,1,11
"567",567,1,1,12
"568",568,2,1,12
"569",569,2,3,9
"570",570,2,2,12
"571",571,1,1,10
"572",572,1,2,12
"573",573,1,1,10
"574",574,1,2,10
